cs_id,calculus_id,strength,rationale
MLWorkingWithData,CMotivatingTheNeedFor,2,"Isaac Newton's development of core calculus ideas was in part inspired by his wish to understand laws of physics, as in Philosophiæ Naturalis Principia Mathematica. These laws were designed to be consistent with data. Gauss's work on predicting celestial mechanics from data is grounded in calculus. Some of the earliest roots of calculus are grounded in data analysis."
MLGradientDescent,CMotivatingTheNeedFor,2,Computing derivatives is essential for gradient descent.
MLRegression,CMotivatingTheNeedFor,2,Regression often tries to minimize the function that represents the sum of squared errors. Finding the minima of a function involves computing derivatives.
MLClustering,CMotivatingTheNeedFor,1,"In k-means, for instance, the key step is finding the mean of a collection of points, which corresponds to finding the point which minimizes the sum of squared differences."
MLNeuralNetworks,CMotivatingTheNeedFor,1,"Backpropagation, which is used to train neural networks, is built on calculus."
MLAdvancedDeepLearning,CMotivatingTheNeedFor,1,Advanced Deep Learning requires at least as much knowledge as Neural Networks.
MLOverfittingUnderfitt,CLimitsAtInfinityAndI2,1,"Analyzing the limit of a sequence might come up when graphing a loss function in terms of a hyperparameter or epoch. For example, we might be interested to see if the loss converges or we might be interested in the points where the loss has a local minimum (a trough)."
MLGradientDescent,CLimitsAtInfinityAndI2,1,Gradient descent is esentially a sequence in the parameter space. We are interested in the convergence of that sequence towards a local minimum of the loss function.
MLRegularization,CLimitsAtInfinityAndI2,1,"In ridge/lasso regression, in the plot of standardized coefficients in terms of lambda, the coefficient curves will approach zero when lambda will approach infinity."
MLLearningTheory,CLimitsAtInfinityAndI2,1,"Learning theory topics are typically focused on asymptotic behavior (for example, as the number of samples grows, will we converge on the right model?) This requires understanding the idea of a limit to infinity."
MLGradientDescent,CMotivatingTheNeedFor2,1,"Gradient descent is based on gradient, which is a vector that consists of (partial) derivatives."
MLModelEvaluationTechn,CMotivatingTheNeedFor2,1,Understand the sensitivity of model predictions to input changes
MLGradientDescent,CDefiningTheDerivativ,1,"Understanding gradient descent requires understanding the idea of a gradient as a function that we can use to move along an error surface. Since the gradient generalizes a derivative, understanding the derivative as a function is also helpful here."
MLNeuralNetworks2,CDefiningTheDerivativ,1,Autodifferentiation is key to backpropagation. It works because neural networks are compositions of basic functions with known derivatives.
MLAdvancedDeepLearning,CDefiningTheDerivativ,1,Advanced Deep Learning requires at least as much knowledge as Neural Networks.
MLGradientDescent,CBasicDifferentiation,1,Performing gradient descent requires calculating (partial) derivatives. This requires one to apply basic differentiation rules.
MLRegressionProblems,CBasicDifferentiation,1,"To find the values that minimize the loss, we  need to be able to differentiate the loss function."
MLClassificationProble,CBasicDifferentiation,1,"For some particular models/algorithms used for classification, we typically use differentation to find the extreme values. For other models (for example, discrete models such decision trees), we do not use differentiation to find the extreme values."
MLNeuralNetworks2,CBasicDifferentiation,1,Autodifferentiation is key to backpropagation. It works because neural networks are compositions of basic functions with known derivatives.
MLAdvancedDeepLearning,CBasicDifferentiation,1,Advanced Deep Learning requires at least as much knowledge as Neural Networks.
MLProbabilisticModels,CBasicDifferentiation,1,"To fit something like Naïve Bayes, you need basic differentiation rules. (You also need Lagrange multipliers, but that is a Calc III topic.)"
